# tako 解説動画 v6（#1081）のタイムライン。スライド主軸 + 実 UI の挿し込み。
# 列: id / kind / source / anchor / offset / min_dur / caption / subtitle / speech
#   kind=slide … source は slides/<id>.png のファイル名（HTML から render-slides.mjs が描く）
#   kind=clip  … source は scenes/<name>-raw.mp4、anchor はビート名か秒数
#   caption は**大見出しだけ**。小さなサブタイトル行は使わない（2026-09-09 ユーザー指示）ので
#   subtitle 列は常に "-"。スライドは画面自身が文字を持つので caption も "-"。
op_title	slide	s_title	-	0	7	-	-	エーアイエージェントに開発を任せる時代。ターミナルは、どう変わるべきでしょうか。
op_hook	clip	master	report_done	2	9	tako — AI エージェント時代の GUI ターミナル	-	この動画では、タコを、何ができて、どう使い、何がいいのかまで、図と実際の画面で解説します。
c1_title	slide	s_c1_title	-	0	4	-	-	まずは、課題からです。
c1_split	slide	s_c1_split	-	0	11	-	-	クロードコードのようなエーアイエージェントを使うと、ひとつの作業が、エージェント本体、子エージェント、デブサーバー、ログへと分裂します。
c1_scatter	slide	s_c1_scatter	-	0	11	-	-	既存のターミナルでは、これらがタブやウインドウに散らばります。どこで何が動いているのか、誰が止まっているのか。追いかけるだけで手間がかかります。
c1_scatter_ui	clip	scatter	tabs	0	7	タブに散らばった状態	-	これが実際の画面です。
c1_wire	slide	s_c1_wire	-	0	11	-	-	しかも、エーアイにターミナルを操作させたければ、ティーマックスやスクリプト、エムシーピーの設定を、自分で繋ぎ込む必要がありました。
c1_answer	slide	s_c1_answer	-	0	10	-	-	タコの答えはシンプルです。ひとつの作業グループを、ひとつのタブに集約する。そのために作られたターミナルです。
c1_collect_ui	clip	scatter	collect	0	7	1 つのタブに集約する	-	散らばっていたものが、ひとつのタブにまとまります。
c2_title	slide	s_c2_title	-	0	4	-	-	タコの設計思想は 3 つです。
c2_p1	slide	s_c2_p1	-	0	13	-	-	ひとつ目、1 グループ 1 タブ。タコの中でエーアイに日本語で頼むと、内蔵のエムシーピーサーバーを通してペインを分割し、必要なものを立ち上げます。生えたペインは全部、同じタブの中です。
c2_p1_ui	clip	agent	req1	0	14	AI がペインを割り、dev サーバーを立てる	-	実際の様子です。頼んだのは日本語の一文だけです。
c2_p2	slide	s_c2_p2	-	0	12	-	-	ふたつ目、ゼロコンフィグ。エムシーピーサーバーはタコに内蔵されていて、初回に登録するだけ。以後どのプロジェクトでも設定は要りません。公開しているツールは 144 個あります。
c2_p3	slide	s_c2_p3	-	0	11	-	-	みっつ目、エーアイフルコントロール。人が画面でできることは、すべてシーエルアイとエムシーピーからもできる。これを不変条件として作られています。
c2_p3_ui	clip	control	theme_light	0	11	テーマも表示モードも、コマンドで	-	テーマの切り替えも、表示モードも、コマンドひとつで動きます。
c3_title	slide	s_c3_title	-	0	4	-	-	導入の流れを見ていきます。
c3_flow	slide	s_c3_flow	-	0	13	-	-	インストールはホームブリューなら 1 行です。そのあとタコ セットアップ を実行すると、エーアイのシーエルアイを検出し、プロファイルの作成とエムシーピーの登録まで済ませます。
c3_setup_ui	clip	setup	setup	0	13	質問ゼロで検出し、対話アシスタントが立ち上がる	-	認証済みのシーエルアイがひとつ見つかれば、人間への質問はありません。
c3_zero	slide	s_c3_zero	-	0	13	-	-	クロードコードがまだ入っていない環境でも、公式のインストール、パスの設定、ログインの案内までをタコが順に進めます。何をどこに入れるかは、実行前に必ず表示します。
c4_title	slide	s_c4_title	-	0	4	-	-	ここからは、普通のターミナルとしての使い勝手です。
c4_map	slide	s_c4_map	-	0	12	-	-	画面はこの作りです。タブが作業グループで、その中を分割して使います。左にファイルツリー、ファイルをクリックすると隣のペインにプレビューが開きます。
c4_split_ui	clip	basics	split_right	0	9	Cmd+D で右、Cmd+Shift+D で下に分割	-	ペイン分割はアイタームと同じ操作感です。
c4_md_ui	clip	basics	md	0	10	Markdown はレンダリング表示。編集すると即反映	-	マークダウンは既定でレンダリング表示で、書き換えると即座に追従します。
